,Age,Gender,Country,Education Level,Role,Programming Experience,ML Experience,Company Size,Company Data Scientists,Yearly Compensation,Spent Money (5years),Primary Tool,# of Languages,# of Visual tools,# of ML frameworks,# of ML algorithms
4902,3,0,0,3.0,8.0,3.0,5.0,4.0,5.0,10.0,5.0,1.0,3,1,1,1
4904,3,1,5,3.0,4.0,4.0,1.0,3.0,1.0,8.0,1.0,2.0,2,1,2,2
4905,1,1,0,2.0,8.0,4.0,0.0,2.0,3.0,5.0,1.0,0.0,3,1,0,0
4908,2,2,0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0,0,0,0
4910,2,0,3,1.0,3.0,2.0,1.0,1.0,2.0,0.0,4.0,3.0,3,3,4,4
4916,3,0,0,3.0,12.0,3.0,1.0,4.0,1.0,8.0,4.0,3.0,3,2,2,1
4917,5,0,3,2.0,0.0,4.0,4.0,1.0,2.0,18.0,1.0,5.0,2,1,3,1
4921,7,0,3,3.0,0.0,1.0,1.0,4.0,7.0,3.0,3.0,0.0,2,2,2,2
4922,8,0,5,0.0,4.0,6.0,1.0,4.0,3.0,14.0,1.0,2.0,5,1,1,2
4924,4,0,5,3.0,4.0,5.0,5.0,5.0,7.0,14.0,3.0,3.0,5,2,5,6
4927,4,0,5,3.0,0.0,2.0,3.0,4.0,2.0,9.0,4.0,3.0,3,5,4,5
4929,1,1,0,2.0,4.0,3.0,1.0,5.0,1.0,5.0,3.0,1.0,3,3,1,3
4933,3,0,5,3.0,3.0,4.0,5.0,5.0,4.0,11.0,4.0,3.0,4,4,6,5
4937,5,0,2,3.0,4.0,2.0,0.0,3.0,4.0,13.0,1.0,2.0,2,1,0,0
4940,2,0,3,2.0,7.0,3.0,2.0,5.0,4.0,19.0,5.0,3.0,1,2,2,4
4942,2,2,2,3.0,3.0,3.0,5.0,1.0,2.0,0.0,1.0,3.0,3,2,5,3
4943,4,0,2,3.0,6.0,2.0,1.0,2.0,4.0,20.0,1.0,3.0,2,3,1,2
4944,9,0,2,4.0,6.0,6.0,6.0,3.0,6.0,15.0,4.0,3.0,4,2,3,5
4945,1,0,1,3.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,5,4,3,5
4946,1,0,0,3.0,3.0,2.0,2.0,2.0,2.0,6.0,2.0,0.0,3,1,2,3
4947,2,0,3,3.0,9.0,0.0,6.0,2.0,3.0,16.0,6.0,2.0,0,0,0,0
4948,7,0,1,4.0,6.0,6.0,2.0,1.0,1.0,0.0,3.0,2.0,6,3,4,6
4949,2,0,0,2.0,4.0,3.0,0.0,5.0,1.0,8.0,3.0,0.0,1,1,0,0
4950,0,0,5,2.0,3.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0,0,0,0
4952,6,1,3,2.0,5.0,2.0,2.0,3.0,5.0,13.0,5.0,2.0,2,1,1,2
4954,6,0,2,5.0,0.0,3.0,3.0,5.0,7.0,24.0,5.0,0.0,1,1,4,5
4956,3,0,0,3.0,4.0,4.0,3.0,3.0,1.0,8.0,4.0,3.0,2,1,2,3
4957,7,1,2,2.0,10.0,6.0,0.0,5.0,3.0,14.0,4.0,2.0,1,1,0,0
4958,1,1,0,2.0,5.0,2.0,0.0,1.0,2.0,3.0,3.0,0.0,4,3,0,0
4961,4,0,0,4.0,3.0,4.0,3.0,1.0,2.0,0.0,1.0,3.0,7,2,1,3
4962,7,0,3,2.0,4.0,6.0,2.0,5.0,7.0,14.0,1.0,3.0,5,2,3,1
4967,0,0,0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3,2,1,1
4969,2,0,0,3.0,5.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2,3,0,0
4970,4,1,3,3.0,8.0,5.0,7.0,5.0,7.0,18.0,5.0,3.0,3,4,5,7
4972,3,0,3,4.0,0.0,5.0,6.0,1.0,1.0,0.0,1.0,3.0,5,5,4,4
4973,1,0,0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2,3,3,4
4974,5,0,3,3.0,10.0,5.0,0.0,5.0,3.0,12.0,6.0,4.0,2,2,0,0
4978,3,0,0,5.0,8.0,3.0,1.0,5.0,7.0,9.0,4.0,0.0,4,3,2,3
4979,1,0,5,2.0,9.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0
4981,1,0,0,2.0,8.0,2.0,2.0,5.0,7.0,3.0,1.0,3.0,3,3,6,3
4984,3,1,0,3.0,6.0,1.0,2.0,3.0,4.0,4.0,1.0,3.0,3,2,1,3
4986,1,0,0,3.0,7.0,4.0,2.0,2.0,2.0,9.0,2.0,3.0,3,3,5,4
4987,3,0,5,3.0,6.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,3,3,4,3
4988,1,0,0,2.0,3.0,1.0,0.0,4.0,7.0,3.0,5.0,0.0,2,2,0,0
4989,2,0,2,3.0,3.0,5.0,6.0,1.0,3.0,13.0,4.0,3.0,3,5,5,6
4992,2,0,4,3.0,0.0,2.0,0.0,1.0,1.0,12.0,1.0,0.0,2,1,0,0
5000,1,0,0,3.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,1.0,0,0,0,0
5003,2,0,2,4.0,10.0,4.0,4.0,4.0,3.0,4.0,1.0,5.0,2,3,4,6
5004,2,0,0,3.0,3.0,3.0,2.0,4.0,3.0,11.0,4.0,3.0,1,2,4,3
5005,5,1,0,3.0,5.0,5.0,4.0,1.0,4.0,7.0,2.0,0.0,2,3,5,6
5006,3,2,0,3.0,8.0,0.0,6.0,5.0,7.0,10.0,3.0,0.0,0,0,0,0
5007,3,0,2,2.0,3.0,4.0,6.0,4.0,7.0,15.0,6.0,3.0,5,4,5,6
5008,1,0,0,2.0,4.0,2.0,1.0,5.0,7.0,5.0,1.0,0.0,3,2,3,3
5009,8,0,3,3.0,4.0,6.0,0.0,5.0,1.0,0.0,1.0,3.0,6,3,0,0
5010,2,1,0,3.0,10.0,1.0,1.0,2.0,3.0,5.0,3.0,4.0,5,1,3,3
5012,1,1,0,3.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,2,2,2,3
5013,6,0,3,3.0,3.0,6.0,1.0,1.0,4.0,8.0,3.0,2.0,5,2,3,4
5014,8,0,3,4.0,3.0,6.0,1.0,5.0,7.0,19.0,6.0,3.0,4,3,4,2
5016,1,0,0,2.0,4.0,2.0,1.0,5.0,7.0,4.0,1.0,0.0,3,3,1,3
5018,4,0,0,3.0,7.0,2.0,1.0,2.0,3.0,10.0,5.0,0.0,2,1,3,2
5021,2,0,0,2.0,10.0,2.0,0.0,1.0,2.0,0.0,2.0,3.0,4,4,0,0
5022,3,0,0,2.0,9.0,3.0,1.0,1.0,2.0,8.0,5.0,0.0,2,1,3,2
5023,4,1,0,3.0,5.0,4.0,4.0,1.0,3.0,8.0,3.0,4.0,6,8,8,11
5024,6,0,2,3.0,4.0,6.0,1.0,1.0,1.0,18.0,1.0,2.0,4,3,2,2
5025,5,0,3,3.0,3.0,1.0,0.0,1.0,2.0,8.0,4.0,0.0,1,2,0,0
5031,2,0,0,2.0,0.0,1.0,1.0,5.0,7.0,2.0,1.0,3.0,2,2,1,3
5033,3,0,2,4.0,6.0,2.0,2.0,1.0,1.0,13.0,1.0,3.0,2,3,7,5
5036,6,0,3,3.0,3.0,6.0,5.0,2.0,5.0,23.0,5.0,3.0,3,3,8,6
5038,2,0,0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0
5039,4,0,3,4.0,6.0,5.0,2.0,1.0,2.0,8.0,1.0,1.0,1,2,1,1
5040,1,0,0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1,1,1,1
5041,1,0,0,2.0,3.0,4.0,3.0,5.0,7.0,8.0,3.0,3.0,2,4,4,6
5047,2,0,0,0.0,3.0,2.0,1.0,5.0,7.0,0.0,4.0,3.0,2,2,4,3
5049,6,0,0,3.0,6.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,1,1,1,1
5051,4,1,3,3.0,10.0,2.0,4.0,3.0,4.0,19.0,3.0,2.0,1,2,1,1
5052,5,0,3,2.0,9.0,4.0,3.0,1.0,2.0,7.0,4.0,3.0,2,1,2,2
5053,5,0,2,2.0,0.0,6.0,6.0,5.0,7.0,20.0,1.0,3.0,3,5,3,8
5054,5,0,2,5.0,12.0,4.0,3.0,1.0,3.0,13.0,4.0,3.0,5,1,3,5
5059,5,0,3,2.0,4.0,5.0,5.0,5.0,7.0,19.0,6.0,4.0,3,1,1,2
5061,4,0,3,3.0,3.0,4.0,6.0,5.0,4.0,18.0,6.0,4.0,3,3,7,6
5063,1,0,0,2.0,4.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,3,1,1,1
5064,5,0,0,3.0,0.0,2.0,2.0,4.0,6.0,12.0,3.0,0.0,1,1,1,1
5065,0,0,0,2.0,5.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2,3,3,3
5066,6,0,0,4.0,3.0,6.0,6.0,5.0,7.0,12.0,4.0,3.0,3,1,1,2
5067,2,0,2,3.0,3.0,2.0,4.0,1.0,4.0,7.0,3.0,3.0,2,3,3,9
5068,0,0,0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1,2,0,0
5069,2,0,0,2.0,3.0,3.0,3.0,2.0,4.0,6.0,3.0,3.0,2,5,5,9
5073,5,0,4,4.0,3.0,6.0,8.0,3.0,7.0,21.0,6.0,3.0,6,6,5,7
5074,2,0,3,3.0,3.0,3.0,4.0,4.0,4.0,7.0,3.0,3.0,1,2,4,4
5076,5,0,0,4.0,6.0,5.0,3.0,1.0,3.0,13.0,5.0,3.0,1,2,1,1
5081,2,1,0,3.0,4.0,2.0,0.0,4.0,7.0,0.0,1.0,1.0,2,2,0,0
5082,2,0,3,2.0,3.0,4.0,5.0,5.0,5.0,18.0,3.0,3.0,2,2,5,4
5084,0,0,0,3.0,5.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,7,1,0,0
5085,7,0,5,4.0,6.0,6.0,8.0,3.0,7.0,12.0,4.0,0.0,6,1,1,5
5087,3,0,0,3.0,7.0,4.0,6.0,1.0,2.0,3.0,2.0,0.0,3,1,2,2
5088,2,0,2,3.0,4.0,4.0,3.0,2.0,5.0,14.0,5.0,3.0,4,1,3,4
5089,8,0,3,3.0,4.0,5.0,0.0,1.0,1.0,6.0,1.0,0.0,6,1,0,0
5092,4,1,2,5.0,6.0,3.0,4.0,2.0,5.0,0.0,1.0,3.0,2,3,4,2
5093,7,0,0,5.0,6.0,5.0,2.0,3.0,2.0,4.0,4.0,0.0,2,2,5,5
5095,1,0,1,3.0,10.0,3.0,1.0,2.0,4.0,6.0,3.0,3.0,5,2,3,5
5098,2,0,2,3.0,3.0,4.0,4.0,5.0,7.0,11.0,2.0,3.0,3,3,5,7
5099,1,0,3,3.0,4.0,3.0,1.0,1.0,1.0,10.0,2.0,3.0,3,1,1,2
5100,6,0,3,3.0,7.0,4.0,5.0,4.0,5.0,21.0,6.0,4.0,4,3,5,4
5101,4,0,3,4.0,6.0,1.0,1.0,1.0,1.0,7.0,2.0,3.0,2,3,1,2
5102,1,0,3,2.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1,3,1,3
5103,4,0,5,3.0,4.0,4.0,1.0,4.0,6.0,13.0,1.0,3.0,2,1,3,1
5104,5,0,2,4.0,0.0,6.0,8.0,3.0,7.0,11.0,5.0,3.0,5,3,6,7
5105,3,0,0,5.0,8.0,1.0,0.0,1.0,2.0,7.0,1.0,0.0,1,1,0,0
5106,2,0,2,3.0,10.0,3.0,3.0,3.0,3.0,10.0,5.0,4.0,2,1,3,3
5107,9,0,3,2.0,0.0,6.0,2.0,1.0,1.0,2.0,1.0,3.0,5,2,3,3
5110,3,0,3,2.0,5.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,3,2,2,3
5111,1,0,0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2,1,2,3
5112,3,0,2,3.0,3.0,4.0,4.0,3.0,4.0,10.0,1.0,0.0,1,1,4,3
5113,3,0,1,3.0,4.0,3.0,3.0,4.0,2.0,12.0,4.0,0.0,3,1,2,3
5115,2,0,1,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,2,3,4
5116,1,0,0,2.0,4.0,3.0,4.0,5.0,7.0,4.0,2.0,0.0,5,3,3,5
5117,6,0,1,3.0,4.0,6.0,3.0,1.0,2.0,17.0,4.0,3.0,6,4,3,2
5119,6,0,2,3.0,10.0,6.0,1.0,5.0,1.0,12.0,2.0,2.0,2,1,1,1
5120,0,1,0,2.0,10.0,2.0,2.0,3.0,7.0,0.0,3.0,0.0,3,4,2,5
5121,4,2,2,3.0,4.0,5.0,1.0,1.0,1.0,17.0,3.0,0.0,3,1,3,1
5122,3,1,5,3.0,3.0,2.0,1.0,2.0,5.0,1.0,1.0,3.0,1,1,1,2
5123,6,0,0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1,1,2,1
5124,2,0,3,2.0,8.0,3.0,3.0,2.0,5.0,19.0,2.0,0.0,2,2,1,1
5125,5,1,3,4.0,3.0,5.0,6.0,4.0,3.0,4.0,4.0,3.0,6,5,6,5
5128,4,0,2,3.0,12.0,3.0,1.0,1.0,2.0,12.0,1.0,3.0,3,2,4,3
5129,2,1,0,2.0,4.0,3.0,4.0,5.0,3.0,5.0,1.0,2.0,1,2,4,5
5130,0,1,0,3.0,12.0,2.0,1.0,3.0,4.0,4.0,1.0,0.0,4,3,1,3
5131,6,0,0,2.0,4.0,6.0,2.0,5.0,7.0,14.0,2.0,3.0,3,3,2,4
5133,0,2,0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,3,2,2,2
5136,2,0,1,2.0,3.0,3.0,3.0,5.0,4.0,6.0,4.0,4.0,1,2,3,3
5138,6,0,2,3.0,9.0,5.0,0.0,4.0,3.0,14.0,2.0,0.0,3,1,0,0
5142,4,0,3,4.0,3.0,4.0,6.0,2.0,7.0,23.0,5.0,5.0,1,1,1,1
5144,8,0,0,3.0,0.0,5.0,1.0,4.0,4.0,15.0,5.0,2.0,1,1,1,2
5145,1,0,0,2.0,4.0,2.0,1.0,1.0,2.0,11.0,3.0,0.0,4,1,1,1
5146,3,0,2,4.0,7.0,5.0,6.0,2.0,5.0,13.0,5.0,0.0,2,8,2,3
5147,4,0,0,3.0,6.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,6,2,2,1
5148,3,0,5,4.0,10.0,4.0,3.0,1.0,3.0,5.0,5.0,0.0,5,3,3,1
5152,4,0,5,2.0,0.0,2.0,1.0,4.0,3.0,10.0,1.0,0.0,2,1,1,3
5153,3,0,5,3.0,5.0,1.0,0.0,1.0,2.0,7.0,3.0,0.0,3,3,0,0
5155,6,1,2,3.0,10.0,2.0,0.0,4.0,4.0,7.0,0.0,0.0,2,1,0,0
5156,3,0,4,3.0,3.0,4.0,2.0,2.0,3.0,14.0,1.0,3.0,1,3,3,1
5157,2,1,0,1.0,8.0,0.0,1.0,2.0,1.0,1.0,2.0,5.0,0,0,0,0
5159,3,1,2,3.0,3.0,1.0,1.0,2.0,6.0,12.0,5.0,5.0,2,3,2,2
5160,1,0,1,2.0,6.0,3.0,2.0,4.0,5.0,0.0,1.0,5.0,3,2,4,3
5161,5,0,1,3.0,3.0,2.0,2.0,1.0,2.0,8.0,1.0,2.0,1,4,4,4
5163,4,0,1,3.0,0.0,0.0,6.0,3.0,1.0,11.0,1.0,0.0,0,0,0,0
5165,7,0,3,2.0,5.0,6.0,3.0,4.0,1.0,8.0,4.0,3.0,3,3,4,3
5169,2,0,0,3.0,8.0,2.0,1.0,4.0,1.0,7.0,1.0,3.0,2,1,5,3
5170,7,0,3,4.0,4.0,6.0,0.0,5.0,7.0,22.0,2.0,0.0,3,1,0,0
5172,4,0,3,4.0,3.0,4.0,6.0,1.0,4.0,20.0,5.0,3.0,2,2,2,3
5173,2,1,1,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0,0,0,0
5174,4,0,2,3.0,7.0,2.0,1.0,5.0,7.0,6.0,6.0,3.0,2,2,3,2
5177,9,0,3,3.0,5.0,2.0,2.0,1.0,1.0,14.0,4.0,0.0,1,1,1,3
5178,5,0,3,2.0,0.0,1.0,1.0,2.0,1.0,7.0,1.0,3.0,3,1,1,1
5179,5,0,0,3.0,3.0,4.0,6.0,5.0,5.0,18.0,2.0,3.0,1,1,3,7
5180,0,1,0,2.0,11.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1,1,1,1
5184,7,0,3,4.0,6.0,3.0,1.0,4.0,4.0,7.0,4.0,0.0,6,5,3,5
5186,3,0,1,4.0,4.0,5.0,6.0,3.0,4.0,11.0,5.0,3.0,3,2,3,2
5187,3,0,2,4.0,6.0,5.0,5.0,4.0,7.0,14.0,4.0,3.0,4,3,4,6
5189,1,1,1,3.0,10.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,5,2,3,6
5190,5,1,3,3.0,9.0,5.0,3.0,1.0,2.0,20.0,4.0,0.0,3,6,3,2
5191,3,1,3,3.0,0.0,5.0,1.0,5.0,7.0,20.0,1.0,0.0,3,1,1,1
5195,2,0,3,2.0,0.0,1.0,1.0,3.0,1.0,11.0,1.0,3.0,2,3,1,2
5198,2,0,0,3.0,3.0,3.0,2.0,4.0,5.0,7.0,2.0,3.0,1,2,9,3
5199,3,0,0,3.0,6.0,5.0,1.0,2.0,3.0,0.0,1.0,0.0,6,3,1,1
5200,5,0,3,3.0,5.0,2.0,1.0,3.0,2.0,16.0,2.0,0.0,1,1,1,1
5201,2,0,0,3.0,5.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,5,10,7,1
5202,4,0,5,1.0,4.0,4.0,1.0,1.0,1.0,15.0,3.0,5.0,2,2,4,4
5203,3,0,3,4.0,6.0,1.0,0.0,1.0,2.0,7.0,1.0,0.0,3,5,0,0
5204,3,0,0,2.0,0.0,1.0,1.0,5.0,7.0,7.0,1.0,0.0,1,3,1,2
5206,4,0,2,3.0,10.0,5.0,6.0,5.0,3.0,13.0,5.0,3.0,4,2,4,4
5207,5,0,0,3.0,8.0,3.0,2.0,5.0,7.0,9.0,4.0,0.0,6,1,3,4
5209,1,1,1,3.0,3.0,1.0,1.0,4.0,4.0,0.0,2.0,5.0,2,1,1,1
5211,3,1,0,3.0,9.0,3.0,1.0,2.0,5.0,2.0,2.0,0.0,2,1,4,2
5216,6,0,2,4.0,6.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,3,1,1,1
5217,4,0,0,3.0,4.0,4.0,4.0,3.0,2.0,13.0,3.0,0.0,3,1,1,4
5219,3,2,5,0.0,4.0,5.0,0.0,2.0,4.0,0.0,3.0,0.0,5,1,0,0
5221,2,0,0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2,3,5,7
5222,2,1,0,3.0,5.0,3.0,5.0,2.0,3.0,0.0,1.0,3.0,4,5,2,4
5223,1,0,0,2.0,10.0,2.0,1.0,5.0,3.0,4.0,1.0,2.0,2,2,2,3
5224,3,0,1,5.0,10.0,2.0,1.0,1.0,7.0,1.0,3.0,3.0,1,2,5,3
5225,5,1,2,4.0,6.0,0.0,1.0,2.0,2.0,6.0,1.0,0.0,0,0,0,0
5226,2,0,1,2.0,0.0,3.0,1.0,3.0,3.0,6.0,3.0,0.0,2,3,1,2
5228,1,0,0,3.0,5.0,1.0,5.0,1.0,3.0,1.0,3.0,3.0,1,1,2,1
5229,3,0,0,2.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0,1,1,0,0
5233,4,0,4,4.0,6.0,4.0,2.0,3.0,4.0,14.0,6.0,0.0,4,2,2,3
5236,6,0,2,3.0,10.0,6.0,6.0,1.0,3.0,15.0,5.0,4.0,5,4,7,4
5238,3,0,3,3.0,3.0,3.0,3.0,3.0,2.0,18.0,1.0,3.0,3,5,7,5
5239,3,0,3,3.0,6.0,4.0,5.0,3.0,7.0,9.0,1.0,3.0,3,3,3,5
5241,7,0,3,4.0,3.0,6.0,3.0,5.0,7.0,19.0,1.0,3.0,5,4,4,3
5242,5,0,3,3.0,6.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1,1,1,1
5244,1,0,2,2.0,11.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,1,1,4,6
5245,4,1,0,4.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,2,2,1
5248,1,0,0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,1.0,5.0,3,2,9,6
5249,7,0,3,2.0,0.0,6.0,4.0,3.0,4.0,20.0,3.0,4.0,3,2,4,3
5251,5,1,3,3.0,8.0,2.0,1.0,4.0,7.0,13.0,1.0,2.0,1,1,1,1
5253,6,0,3,3.0,10.0,5.0,5.0,5.0,7.0,18.0,4.0,2.0,3,1,1,2
5254,3,0,5,3.0,7.0,3.0,2.0,1.0,4.0,1.0,0.0,0.0,5,2,5,5
5255,3,1,3,3.0,3.0,4.0,6.0,4.0,7.0,18.0,6.0,3.0,3,4,4,3
5256,4,0,3,2.0,5.0,4.0,4.0,2.0,2.0,14.0,4.0,3.0,2,4,4,5
5258,2,0,3,3.0,8.0,2.0,1.0,4.0,4.0,0.0,1.0,0.0,1,3,5,4
5259,0,0,1,2.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,2,2,6,4
5260,2,0,1,2.0,5.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,1,1,0,0
5261,5,0,0,4.0,6.0,6.0,3.0,3.0,7.0,15.0,2.0,3.0,2,3,5,5
5264,4,0,0,3.0,8.0,1.0,1.0,5.0,7.0,7.0,2.0,0.0,1,3,3,6
5265,4,0,0,2.0,0.0,2.0,1.0,3.0,1.0,7.0,2.0,0.0,3,1,1,2
5269,6,0,0,1.0,4.0,6.0,7.0,1.0,1.0,0.0,4.0,3.0,4,2,5,5
5271,4,0,0,2.0,0.0,6.0,1.0,4.0,7.0,12.0,5.0,3.0,9,3,4,4
5273,0,0,0,2.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,3.0,2,2,3,3
5274,8,0,0,3.0,3.0,6.0,5.0,5.0,7.0,15.0,1.0,5.0,2,1,1,3
5275,8,0,3,3.0,0.0,0.0,6.0,4.0,7.0,16.0,1.0,0.0,0,0,0,0
5277,4,0,0,4.0,3.0,3.0,1.0,5.0,3.0,7.0,3.0,3.0,3,3,2,1
5279,2,0,2,2.0,8.0,3.0,2.0,1.0,2.0,12.0,2.0,4.0,2,4,3,2
5280,1,1,0,2.0,7.0,3.0,2.0,2.0,5.0,5.0,3.0,3.0,1,2,6,4
5281,6,0,2,0.0,4.0,6.0,1.0,5.0,1.0,13.0,1.0,0.0,4,1,1,1
5283,2,0,0,3.0,0.0,2.0,2.0,5.0,3.0,14.0,1.0,0.0,1,2,2,4
5285,1,0,0,3.0,0.0,4.0,1.0,5.0,2.0,4.0,1.0,2.0,4,2,2,1
5286,2,1,2,3.0,3.0,4.0,2.0,1.0,3.0,11.0,3.0,3.0,2,5,5,4
5288,6,0,2,3.0,3.0,6.0,8.0,2.0,7.0,19.0,5.0,1.0,3,2,7,11
5290,1,0,0,2.0,8.0,3.0,3.0,3.0,2.0,4.0,1.0,0.0,3,3,4,6
5296,8,0,2,2.0,4.0,6.0,1.0,5.0,7.0,15.0,3.0,3.0,3,2,1,2
5297,1,0,3,2.0,5.0,3.0,3.0,3.0,7.0,15.0,6.0,3.0,1,1,1,2
5298,3,0,3,3.0,3.0,5.0,7.0,2.0,3.0,10.0,4.0,3.0,5,3,5,3
5299,1,1,0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,2.0,0.0,2,2,4,5
5300,3,1,2,2.0,3.0,3.0,5.0,1.0,2.0,12.0,0.0,0.0,2,4,3,3
5301,3,0,2,3.0,4.0,5.0,6.0,5.0,7.0,11.0,1.0,0.0,7,1,2,3
5302,1,0,5,3.0,3.0,3.0,2.0,1.0,2.0,10.0,3.0,5.0,7,4,6,4
5303,1,1,1,3.0,5.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1,1,1,2
5306,3,1,5,3.0,12.0,2.0,1.0,3.0,1.0,4.0,3.0,0.0,2,2,4,2
5308,7,0,3,3.0,9.0,3.0,0.0,1.0,2.0,19.0,1.0,0.0,1,1,0,0
5309,1,0,3,3.0,7.0,3.0,3.0,4.0,4.0,1.0,4.0,3.0,3,2,6,5
5310,8,1,3,4.0,0.0,0.0,6.0,4.0,3.0,16.0,4.0,0.0,0,0,0,0
5314,3,0,3,2.0,0.0,3.0,2.0,5.0,2.0,12.0,1.0,3.0,4,3,3,4
5315,8,0,3,2.0,9.0,1.0,1.0,1.0,2.0,17.0,4.0,2.0,1,1,2,3
5319,1,1,2,3.0,5.0,3.0,2.0,2.0,4.0,0.0,5.0,3.0,3,2,1,4
5323,2,0,0,2.0,5.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,3,2,2,3
5324,8,0,3,2.0,0.0,3.0,4.0,1.0,3.0,0.0,1.0,0.0,1,1,1,2
5325,4,0,0,3.0,4.0,0.0,6.0,5.0,1.0,11.0,1.0,0.0,0,0,0,0
5326,7,1,3,5.0,6.0,6.0,7.0,4.0,1.0,2.0,4.0,0.0,1,2,1,4
5327,0,0,0,2.0,7.0,2.0,2.0,1.0,3.0,0.0,1.0,3.0,2,3,5,6
5330,3,1,1,4.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,0,0,0,0
5331,2,1,0,0.0,4.0,4.0,0.0,3.0,4.0,9.0,1.0,0.0,3,4,0,0
5334,2,0,5,3.0,8.0,4.0,1.0,3.0,2.0,16.0,4.0,0.0,3,2,1,4
5335,3,1,3,3.0,3.0,5.0,5.0,5.0,7.0,18.0,5.0,3.0,2,1,2,3
5336,5,0,5,3.0,0.0,2.0,2.0,4.0,1.0,5.0,2.0,0.0,1,2,4,2
5339,2,0,1,4.0,6.0,2.0,0.0,1.0,2.0,0.0,5.0,0.0,4,1,0,0
5340,4,1,0,3.0,6.0,5.0,5.0,2.0,3.0,2.0,2.0,0.0,3,1,3,4
5342,6,0,2,4.0,5.0,5.0,2.0,4.0,7.0,18.0,1.0,3.0,1,1,1,2
5345,1,0,2,3.0,8.0,1.0,0.0,1.0,1.0,14.0,1.0,0.0,3,1,0,0
5352,5,0,3,3.0,9.0,4.0,5.0,5.0,7.0,19.0,5.0,3.0,4,4,4,5
5354,5,0,3,3.0,6.0,6.0,2.0,5.0,1.0,15.0,1.0,0.0,1,3,1,1
5356,4,1,3,4.0,3.0,5.0,7.0,1.0,4.0,11.0,5.0,3.0,1,3,3,3
5359,2,0,0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3,5,3,4
5360,0,0,3,2.0,11.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3,1,0,0
5361,2,0,5,2.0,4.0,5.0,1.0,1.0,1.0,10.0,3.0,0.0,4,1,2,1
5364,2,0,0,3.0,3.0,3.0,3.0,2.0,4.0,8.0,1.0,3.0,1,2,4,3
5366,3,0,0,3.0,0.0,1.0,1.0,4.0,2.0,4.0,5.0,3.0,2,3,5,4
5367,6,0,0,4.0,3.0,3.0,8.0,4.0,7.0,12.0,6.0,3.0,1,1,4,3
5368,3,0,3,2.0,0.0,1.0,0.0,5.0,7.0,17.0,5.0,0.0,1,1,0,0
5369,0,0,3,2.0,4.0,3.0,1.0,1.0,4.0,8.0,3.0,3.0,2,1,1,2
5371,3,1,3,4.0,6.0,4.0,3.0,2.0,7.0,5.0,4.0,3.0,2,3,7,8
5372,2,0,0,3.0,8.0,2.0,2.0,3.0,5.0,5.0,4.0,2.0,3,6,4,3
